Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.180, , 0.570, 0.570, 0.262, 0.152, , , , , 0.150, 0.157, 0.038, 18.216, 20.295
0.186, , 0.696, 0.609, 0.320, 0.173, , , , , 0.180, 0.138, 0.020, 6.070, 8.392
0.172, , 0.592, 0.606, 0.316, 0.170, , , , , 0.176, 0.143, 0.024, 188.823, 191.022
0.210, , 0.716, 0.944, 0.485, 0.295, , , , , 0.152, 0.118, 0.020, 47.431, 50.371
0.289, 0.633, 0.421, 0.889, 0.454, 0.200, , , , , 0.215, 0.188, 0.024, 0.288, 3.601
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.136, , 0.471, 0.612, 0.269, 0.154, , , , , 0.154, 0.120, 0.021, 18.611, 20.548
0.179, , 0.655, 0.930, 0.332, 0.171, , , , , 0.179, 0.135, 0.020, 7.272, 9.873
0.219, , 0.575, 0.635, 0.312, 0.166, , , , , 0.169, 0.142, 0.021, 196.903, 199.142
0.159, , 1.128, 0.600, 0.282, 0.147, , , , , 0.151, 0.176, 0.021, 47.578, 50.242
0.359, 0.972, 0.752, 0.832, 0.516, 0.198, , , , , 0.218, 0.187, 0.023, 0.486, 4.543
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.152, , 0.483, 0.622, 0.269, 0.153, , , , , 0.153, 0.123, 0.021, 19.133, 21.109
0.190, , 0.590, 0.594, 0.331, 0.175, , , , , 0.181, 0.138, 0.021, 5.696, 7.916
0.185, , 0.594, 0.612, 0.317, 0.173, , , , , 0.173, 0.143, 0.024, 174.640, 176.861
0.135, , 0.556, 0.662, 0.285, 0.150, , , , , 0.155, 0.119, 0.019, 47.635, 49.716
0.370, 0.749, 0.391, 0.892, 0.448, 0.200, , , , , 0.219, 0.191, 0.023, 0.330, 3.813
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.167, , 1.205, 0.930, 0.458, 0.299, , , , , 0.279, 0.251, 0.022, 18.434, 22.045
0.130, , 0.420, 0.589, 0.324, 0.175, , , , , 0.180, 0.135, 0.021, 6.617, 8.591
0.145, , 0.435, 0.608, 0.317, 0.168, , , , , 0.169, 0.188, 0.049, 180.711, 182.790
0.190, , 0.645, 1.019, 0.283, 0.148, , , , , 0.152, 0.118, 0.023, 47.267, 49.845
0.302, 0.591, 0.400, 0.837, 0.445, 0.263, , , , , 0.216, 0.184, 0.023, 0.308, 3.569
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.147, , 0.653, 1.205, 0.504, 0.294, , , , , 0.269, 0.182, 0.020, 18.276, 21.550
0.185, , 0.454, 0.591, 0.318, 0.166, , , , , 0.176, 0.198, 0.020, 5.736, 7.844
0.159, , 0.448, 0.628, 0.313, 0.164, , , , , 0.168, 0.206, 0.023, 204.467, 206.576
0.141, , 0.472, 0.604, 0.301, 0.153, , , , , 0.160, 0.116, 0.020, 47.241, 49.208
0.292, 0.684, 0.395, 0.844, 0.462, 0.200, , , , , 0.223, 0.190, 0.023, 0.336, 3.649
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.997, , 0.482, 1.485, 0.277, 0.154, , , , , 0.161, 0.121, 0.021, 18.268, 21.966
0.136, , 0.665, 0.593, 0.324, 0.177, , , , , 0.177, 0.134, 0.020, 5.918, 8.144
0.154, , 0.564, 0.628, 0.321, 0.173, , , , , 0.178, 0.201, 0.021, 203.764, 206.004
0.123, , 0.495, 0.616, 0.291, 0.153, , , , , 0.158, 0.117, 0.020, 47.853, 49.826
0.340, 0.805, 0.464, 0.867, 0.460, 0.200, , , , , 0.225, 0.189, 0.023, 0.813, 4.386
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.169, , 0.710, 0.904, 0.452, 0.293, , , , , 0.271, 0.181, 0.019, 38.028, 41.027
0.189, , 0.611, 0.842, 0.402, 0.197, , , , , 0.228, 0.168, 0.021, 101.372, 104.030
0.157, , 0.471, 0.817, 0.392, 0.208, , , , , 0.220, 0.175, 0.021, 227.358, 229.819
0.242, 0.482, 0.372, 0.692, 0.391, 0.161, , , , , 0.165, 0.153, 0.022, 1.917, 4.597
