Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.072, , 0.210, 1.000, 0.517, 0.160, 1.915, 0.474, 1.003, 7.196, , , , 18.012, 31.559
0.166, , 0.388, 0.955, 0.341, 0.176, 2.155, 0.503, 1.196, 8.297, , , , 5.727, 19.904
0.171, , 0.230, 0.946, 0.501, 0.289, 3.379, 0.508, 1.171, 8.081, , , , 160.052, 175.328
0.126, , 0.151, 0.993, 0.351, 0.156, 1.881, 0.456, 0.975, 6.947, , , , 47.336, 59.372
0.348, 0.911, 0.172, 0.931, 0.470, 0.203, 2.692, 0.656, 1.690, 12.343, , , , 0.413, 20.829
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.138, , 0.173, 1.297, 0.294, 0.160, 2.010, 0.490, 1.024, 7.238, , , , 18.165, 30.989
0.176, , 0.229, 0.944, 0.533, 0.298, 2.262, 0.498, 1.221, 8.118, , , , 5.522, 19.801
0.158, , 0.273, 0.978, 0.505, 0.292, 2.309, 0.515, 1.190, 8.229, , , , 162.983, 177.432
0.214, , 0.149, 0.682, 0.309, 0.163, 1.913, 0.492, 0.984, 7.053, , , , 46.727, 58.686
0.336, 1.034, 0.280, 1.321, 0.556, 0.207, 2.660, 0.641, 1.640, 12.120, , , , 0.333, 21.128
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.246, , 0.274, 0.896, 0.420, 0.244, 2.498, 0.457, 0.977, 6.916, , , , 17.625, 30.553
0.167, , 0.221, 0.955, 0.527, 0.302, 2.281, 0.499, 1.209, 8.085, , , , 5.176, 19.422
0.161, , 0.236, 0.980, 0.507, 0.290, 2.309, 0.510, 1.202, 8.187, , , , 186.811, 201.193
0.109, , 0.150, 1.546, 0.314, 0.162, 1.857, 0.448, 1.006, 7.105, , , , 47.541, 60.238
0.288, 0.818, 0.156, 0.952, 0.483, 0.199, 2.693, 0.653, 1.624, 11.972, , , , 0.341, 20.179
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
