Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.655, 0.011, 0.159, 0.289, 2.509, 0.007, 0.026, 2.362, 0.009, 0.038, 0.984, 0.008, 0.045, 0.867, 0.008, 0.031, 0.842, 0.007, 0.031, 0.756, 0.017, 1.090, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql...
0.666, 0.015, 0.157, 0.317, 2.385, 0.008, 0.031, 2.021, 0.008, 0.035, 0.862, 0.008, 0.030, 1.102, 0.013, 0.056, 0.846, 0.007, 0.032, 0.813, 0.028, 2.591, 0.012
0.666, 0.026, 0.148, 0.292, 2.354, 0.007, 0.027, 2.495, 0.008, 0.035, 1.207, 0.009, 0.033, 1.091, 0.013, 0.056, 0.843, 0.008, 0.037, 0.697, 0.028, 2.367, 0.012
0.632, 0.011, 0.147, 0.338, 2.351, 0.007, 0.040, 2.120, 0.009, 0.036, 0.932, 0.010, 0.034, 0.987, 0.013, 0.055, 0.793, 0.007, 0.035, 0.793, 0.029, 2.303, 0.012
0.536, 0.011, 0.149, 0.290, 2.213, 0.007, 0.028, 1.997, 0.009, 0.036, 1.000, 0.009, 0.035, 1.126, 0.013, 0.057, 0.871, 0.008, 0.034, 0.787, 0.022, 2.212, 0.015
0.641, 0.011, 0.150, 0.296, 2.029, 0.007, 0.028, 2.213, 0.009, 0.036, 0.827, 0.010, 0.033, 1.090, 0.014, 0.063, 1.002, 0.007, 0.035, 0.835, 0.021, 2.235, 0.011
0.752, 0.014, 0.143, 0.282, 2.289, 0.007, 0.027, 2.103, 0.008, 0.036, 0.816, 0.010, 0.037, 1.164, 0.013, 0.057, 0.866, 0.007, 0.034, 0.702, 0.027, 2.850, 0.012
0.630, 0.011, 0.143, 0.280, 2.572, 0.007, 0.027, 2.176, 0.009, 0.036, 0.852, 0.009, 0.038, 1.058, 0.013, 0.058, 1.004, 0.007, 0.032, 0.788, 0.022, 2.484, 0.011
0.645, 0.012, 0.145, 0.281, 2.468, 0.008, 0.034, 2.084, 0.008, 0.037, 0.920, 0.009, 0.035, 1.009, 0.013, 0.056, 0.876, 0.008, 0.039, 0.839, 0.028, 2.468, 0.012
0.609, 0.012, 0.150, 0.294, 2.472, 0.007, 0.028, 2.256, 0.009, 0.036, 0.994, 0.010, 0.034, 1.171, 0.013, 0.056, 0.986, 0.008, 0.035, 0.723, 0.029, 2.247, 0.012
