Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.041, 1.138, 0.166, 30.104, 1.768, 1.923, 0.264, 37.197, 19.075, 0.508, 1.137, 0.355, 0.956, 0.349, 0.887, 0.291, 0.902, 0.323, 0.918, 0.396, 0.926, 0.336, 1.812, 4.514, 1.707, 4.576, 1.141, 15.255, 0.329, 14.795, 0.302, 0.103, 0.301, 0.367, 0.386, 1.478, 0.368, 0.095, 0.314, 0.848, 0.357, 1.012, 0.302, 15.481, 0.455, 3.956, 0.353, 3.375, 0.306, 38.857, 0.395, 34.095, 0.316, 4.655, 0.321, 3.673, 0.295, 4.635, 0.310, 35.204, 0.013, 0.022, 189.078, 19.143, 0.033, 0.031, 0.007, 0.015, 1.402, 8.368, 0.048, 0.027, 0.007, 0.020, 2.849, 2.730, 0.017, 0.019, 0.006, 0.018, 0.591, 0.488, 0.014, 0.012, 0.005, 0.019, 18.088, 1.360, 0.028, 0.012, 0.011, 23.058, 1.350, 0.025
0.486, 0.000, 0.000, 0.000, 0.000, 0.008, 0.019, 0.804, 16.233, 0.037, 0.031, 0.008, 0.017, 0.314, 12.162, 0.051, 0.030, 0.007, 0.023, 2.747, 2.920, 0.019, 0.022, 0.007, 0.021, 0.766, 0.187, 0.014, 0.016, 0.012, 1.395, 0.163, 0.012
0.414, 0.000, 0.000, 0.000, 0.000, 0.007, 0.018, 0.758, 15.371, 0.033, 0.027, 0.007, 0.014, 0.280, 11.457, 0.048, 0.030, 0.007, 0.021, 2.460, 2.776, 0.014, 0.019, 0.007, 0.018, 0.692, 0.206, 0.012, 0.013, 0.009, 1.002, 0.194, 0.011
0.425, 0.000, 0.000, 0.000, 0.000, 0.009, 0.021, 1.055, 15.211, 0.049, 0.028, 0.007, 0.015, 0.299, 11.288, 0.049, 0.030, 0.007, 0.020, 2.456, 2.751, 0.017, 0.021, 0.007, 0.019, 0.706, 0.185, 0.018, 0.014, 0.010, 1.028, 0.164, 0.015
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
0.078, 0.000, 0.000, 0.000, 0.000, 0.006, 0.016, 0.619, 62.435, 0.047, 0.029, 0.008, 0.017, 0.351, 8.583, 0.046, 0.029, 0.007, 0.023, 2.512, 7.190, 0.045, 0.025, 0.007, 0.022, 1.757, 37.312, 0.046, 0.024, 0.005, 0.019, 1.889, 23.546, 0.049, 0.019, 0.009, 1.064, 0.441, 0.011
0.184, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.634, 63.401, 0.046, 0.030, 0.008, 0.016, 0.337, 10.030, 0.049, 0.030, 0.007, 0.021, 2.500, 8.505, 0.041, 0.025, 0.008, 0.021, 1.714, 41.196, 0.047, 0.025, 0.006, 0.019, 1.925, 25.827, 0.047, 0.020, 0.009, 1.216, 0.375, 0.012
0.373, 0.000, 0.000, 0.000, 0.000, 0.007, 0.017, 0.662, 63.868, 0.046, 0.029, 0.008, 0.016, 0.336, 10.762, 0.048, 0.029, 0.007, 0.021, 2.512, 8.467, 0.040, 0.026, 0.008, 0.022, 1.783, 40.631, 0.046, 0.024, 0.007, 0.019, 1.919, 27.099, 0.051, 0.019, 0.009, 1.223, 0.378, 0.012
0.333, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.641, 63.871, 0.045, 0.031, 0.008, 0.026, 0.328, 10.772, 0.046, 0.028, 0.007, 0.020, 2.409, 8.577, 0.041, 0.024, 0.009, 0.021, 1.701, 38.092, 0.046, 0.024, 0.005, 0.019, 1.934, 25.164, 0.047, 0.020, 0.008, 1.210, 0.418, 0.012
0.316, 0.000, 0.000, 0.000, 0.000, 0.006, 0.016, 0.631, 64.323, 0.049, 0.031, 0.007, 0.024, 0.384, 10.952, 0.048, 0.029, 0.006, 0.020, 2.424, 8.611, 0.041, 0.026, 0.008, 0.021, 1.698, 41.060, 0.047, 0.024, 0.006, 0.019, 1.893, 25.741, 0.050, 0.019, 0.009, 1.210, 0.363, 0.015
0.284, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.637, 64.444, 0.047, 0.031, 0.007, 0.016, 0.339, 10.790, 0.047, 0.028, 0.007, 0.020, 2.372, 8.495, 0.043, 0.026, 0.009, 0.023, 1.812, 37.863, 0.049, 0.025, 0.006, 0.019, 2.017, 24.994, 0.048, 0.020, 0.009, 1.220, 0.384, 0.011
0.422, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.636, 64.116, 0.047, 0.030, 0.008, 0.016, 0.335, 10.979, 0.048, 0.030, 0.007, 0.021, 2.433, 8.722, 0.043, 0.026, 0.008, 0.022, 1.771, 40.677, 0.047, 0.024, 0.005, 0.018, 1.939, 25.209, 0.048, 0.019, 0.009, 1.200, 0.363, 0.011
0.324, 0.000, 0.000, 0.000, 0.000, 0.007, 0.017, 0.670, 64.272, 0.047, 0.030, 0.008, 0.016, 0.340, 10.909, 0.050, 0.029, 0.007, 0.020, 2.498, 8.732, 0.042, 0.025, 0.008, 0.021, 1.738, 40.539, 0.049, 0.024, 0.005, 0.018, 1.909, 26.787, 0.048, 0.021, 0.009, 1.208, 0.442, 0.011
0.372, 0.000, 0.000, 0.000, 0.000, 0.006, 0.016, 0.631, 65.631, 0.046, 0.029, 0.007, 0.016, 0.327, 10.778, 0.049, 0.029, 0.007, 0.021, 2.457, 8.644, 0.041, 0.026, 0.008, 0.022, 1.800, 39.830, 0.053, 0.025, 0.006, 0.020, 2.036, 29.363, 0.049, 0.019, 0.009, 1.246, 0.408, 0.012
0.410, 0.000, 0.000, 0.000, 0.000, 0.007, 0.017, 0.682, 64.239, 0.045, 0.030, 0.008, 0.015, 0.327, 10.869, 0.048, 0.029, 0.007, 0.019, 2.428, 8.609, 0.044, 0.027, 0.008, 0.022, 1.770, 40.752, 0.046, 0.024, 0.006, 0.020, 2.018, 27.174, 0.048, 0.019, 0.009, 1.250, 0.454, 0.011
0.378, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.643, 65.345, 0.045, 0.031, 0.008, 0.016, 0.345, 10.793, 0.045, 0.029, 0.007, 0.020, 2.425, 8.755, 0.040, 0.026, 0.008, 0.023, 1.803, 39.638, 0.049, 0.025, 0.006, 0.020, 2.020, 26.444, 0.052, 0.019, 0.009, 1.254, 0.440, 0.012
0.266, 0.000, 0.000, 0.000, 0.000, 0.007, 0.016, 0.640, 65.258, 0.045, 0.030, 0.008, 0.016, 0.336, 10.625, 0.048, 0.028, 0.007, 0.021, 2.452, 8.553, 0.042, 0.026, 0.008, 0.022, 1.771, 41.689, 0.047, 0.024, 0.006, 0.019, 1.910, 28.769, 0.048, 0.020, 0.008, 1.220, 0.441, 0.012
0.348, 0.000, 0.000, 0.000, 0.000, 0.010, 0.023, 0.738, 66.487, 0.047, 0.029, 0.007, 0.015, 0.340, 10.849, 0.045, 0.028, 0.007, 0.020, 2.403, 8.727, 0.040, 0.025, 0.007, 0.021, 1.768, 41.439, 0.047, 0.025, 0.006, 0.019, 1.918, 26.408, 0.047, 0.020, 0.008, 1.230, 0.411, 0.011
